Date,Open,High,Low,Close,Adj Close,Volume
1/3/2011,1415.599976,1423.900024,1413.699951,1422.599976,1422.599976,54
1/4/2011,1409.599976,1410.900024,1375.800049,1378.5,1378.5,28
1/5/2011,1383.400024,1384,1364.199951,1373.400024,1373.400024,122
1/6/2011,1374.800049,1376.5,1368.900024,1371.400024,1371.400024,175
1/7/2011,1372.699951,1377.199951,1355.5,1368.5,1368.5,158
1/9/2011,null,null,null,null,null,null
1/10/2011,1369,1374,1365.699951,1373.699951,1373.699951,225
1/11/2011,1375.400024,1384.5,1373.900024,1384,1384,181
1/12/2011,1382.599976,1385.5,1378,1385.699951,1385.699951,13
1/13/2011,1386.099976,1392.5,1371.400024,1386.900024,1386.900024,204
1/14/2011,1375,1376,1356.699951,1360.400024,1360.400024,66
1/16/2011,null,null,null,null,null,null
1/18/2011,1365.099976,1371,1359.199951,1368.099976,1368.099976,252
1/19/2011,1371.900024,1376.199951,1367,1370.199951,1370.199951,106
1/20/2011,1367.699951,1367.699951,1345,1346.5,1346.5,40
1/21/2011,1341.699951,1345.599976,1338.599976,1341,1341,10
1/23/2011,null,null,null,null,null,null
1/24/2011,1352.300049,1352.300049,1341.800049,1344.5,1344.5,20
1/25/2011,1330.400024,1331.5,1323.599976,1332.300049,1332.300049,2
1/26/2011,1333,1341.699951,1333,1333,1333,394
1/27/2011,1342,1342,1318.400024,1318.400024,1318.400024,4
1/28/2011,1314,1346.599976,1307.699951,1340.699951,1340.699951,210699
1/30/2011,null,null,null,null,null,null
1/31/2011,1339,1345.900024,1323.300049,1333.800049,1333.800049,73023
2/1/2011,1333.099976,1342.900024,1325.300049,1339.599976,1339.599976,13657
2/2/2011,1344,1344,1327,1331.5,1331.5,3180
2/3/2011,1335.599976,1355.800049,1324.900024,1352.300049,1352.300049,1363
2/4/2011,1354.800049,1360,1345,1348.300049,1348.300049,1865
2/6/2011,null,null,null,null,null,null
2/7/2011,1345.800049,1353.800049,1343.800049,1347.599976,1347.599976,591
2/8/2011,1351.199951,1367,1350,1363.400024,1363.400024,1004
2/9/2011,1362.800049,1366.5,1359.599976,1364.800049,1364.800049,2536
2/10/2011,1364.300049,1364.5,1351.699951,1361.900024,1361.900024,146
2/11/2011,1364,1368.800049,1355.199951,1359.900024,1359.900024,312
2/13/2011,null,null,null,null,null,null
2/14/2011,1357.800049,1365.599976,1356.599976,1364.599976,1364.599976,488
2/15/2011,1361.599976,1376,1361.599976,1373.599976,1373.599976,181
2/16/2011,1373.599976,1382,1370.5,1374.699951,1374.699951,321
2/17/2011,1377.699951,1384.699951,1377,1384.699951,1384.699951,156
2/18/2011,1384.099976,1391.800049,1381.800049,1388.199951,1388.199951,113
2/20/2011,null,null,null,null,null,null
2/22/2011,1395.099976,1408.699951,1395.099976,1400.5,1400.5,98
2/23/2011,1397.800049,1413.800049,1397.800049,1413.400024,1413.400024,430
2/24/2011,1415.099976,1415.300049,1408.300049,1415.300049,1415.300049,318
2/25/2011,1401.699951,1411,1401,1408.699951,1408.699951,809
2/27/2011,null,null,null,null,null,null
2/28/2011,1410.699951,1415.699951,1407.699951,1409.300049,1409.300049,352
3/1/2011,1415.300049,1434.400024,1415.300049,1430.699951,1430.699951,205
3/2/2011,1432.5,1440.5,1428.800049,1437.199951,1437.199951,116
3/3/2011,1432.300049,1432.300049,1415.900024,1416,1416,1600
3/4/2011,1418.900024,1429.800049,1416.800049,1428.199951,1428.199951,244
3/6/2011,null,null,null,null,null,null
3/7/2011,1434.5,1445,1429.5,1434.099976,1434.099976,60
3/8/2011,1431.599976,1432.599976,1424.300049,1426.900024,1426.900024,613
3/9/2011,1430,1435.699951,1426.099976,1429.300049,1429.300049,198
3/10/2011,1429.5,1429.800049,1403.800049,1412.199951,1412.199951,98
3/11/2011,1413.699951,1422.599976,1404.900024,1421.5,1421.5,23
3/13/2011,null,null,null,null,null,null
3/14/2011,1420,1427.699951,1420,1424.599976,1424.599976,23
3/15/2011,1413.300049,1413.300049,1385.5,1392.599976,1392.599976,58
3/16/2011,1398,1404.199951,1394.300049,1396,1396,20
3/17/2011,1387.699951,1393.599976,1387.699951,1404,1404,38
3/18/2011,1406.400024,1419.300049,1406.400024,1415.900024,1415.900024,27
3/20/2011,null,null,null,null,null,null
3/21/2011,1433.5,1433.5,1430.800049,1426.199951,1426.199951,6
3/22/2011,1430.400024,1430.400024,1430.400024,1427.5,1427.5,43
3/23/2011,1432.199951,1439.699951,1432.199951,1437.900024,1437.900024,85
3/24/2011,1437.699951,1446.900024,1437.5,1434.800049,1434.800049,19
3/25/2011,1436,1436,1436,1426.099976,1426.099976,27
3/27/2011,null,null,null,null,null,null
3/28/2011,1413.199951,1415.599976,1413.199951,1419.800049,1419.800049,1
3/29/2011,1416,1416,1416,1416,1416,6
3/30/2011,1418.699951,1430.300049,1412,1423.800049,1423.800049,135792
3/31/2011,1423.300049,1440,1420.699951,1438.900024,1438.900024,47011
4/1/2011,1433.400024,1436.5,1413,1428.099976,1428.099976,8230
4/3/2011,null,null,null,null,null,null
4/4/2011,1429.099976,1439.099976,1428.800049,1432.199951,1432.199951,5318
4/5/2011,1437.900024,1457.599976,1430.300049,1451.800049,1451.800049,683
4/6/2011,1456.900024,1462.300049,1452,1457.699951,1457.699951,2609
4/7/2011,1459.699951,1462.5,1453.900024,1458.5,1458.5,901
4/8/2011,1457.599976,1475.5,1457.5,1473.400024,1473.400024,229
4/10/2011,null,null,null,null,null,null
4/11/2011,1476,1476,1459.699951,1467.400024,1467.400024,1407
4/12/2011,1461.800049,1467.199951,1444.400024,1452.900024,1452.900024,378
4/13/2011,1455,1462,1454,1454.900024,1454.900024,345
4/14/2011,1456.800049,1476,1452.699951,1471.699951,1471.699951,197
4/15/2011,1477.599976,1487.5,1473.199951,1485.300049,1485.300049,535
4/17/2011,null,null,null,null,null,null
4/18/2011,1486.300049,1497.300049,1477.5,1492.300049,1492.300049,293
4/19/2011,1493.300049,1499.5,1489,1494.5,1494.5,650
4/20/2011,1494,1505.300049,1494,1498.300049,1498.300049,168
4/21/2011,1503.699951,1508.300049,1501.699951,1503.199951,1503.199951,386
4/24/2011,null,null,null,null,null,null
4/25/2011,1513.300049,1518,1502.800049,1508.599976,1508.599976,237
4/26/2011,1501.5,1506.300049,1495,1503,1503,233
4/27/2011,1507.099976,1512.800049,1505.199951,1516.699951,1516.699951,223
4/28/2011,1528.599976,1536,1526.599976,1530.800049,1530.800049,460
4/29/2011,1538.699951,1568.699951,1537.300049,1556,1556,425
5/1/2011,null,null,null,null,null,null
5/2/2011,1572.900024,1576.599976,1543.099976,1556.699951,1556.699951,124
5/3/2011,1542.5,1547,1527.5,1540.099976,1540.099976,200
5/4/2011,1535,1539,1506.199951,1514.900024,1514.900024,246
5/5/2011,1514.699951,1520.699951,1471,1480.900024,1480.900024,272
5/6/2011,1473.199951,1494.800049,1472.300049,1491.199951,1491.199951,133
5/8/2011,null,null,null,null,null,null
5/9/2011,1501.5,1512.800049,1501.300049,1502.900024,1502.900024,144
5/10/2011,1508.400024,1516.900024,1508.400024,1516.599976,1516.599976,44
5/11/2011,1524,1524.099976,1495.199951,1501.099976,1501.099976,13
5/12/2011,1492.099976,1498.5,1484.800049,1506.599976,1506.599976,30
5/13/2011,1503.5,1511.300049,1490.199951,1493.400024,1493.400024,11
5/15/2011,null,null,null,null,null,null
5/16/2011,1489.300049,1494.900024,1489.300049,1490.400024,1490.400024,16
5/17/2011,1489.800049,1491.800049,1473,1479.800049,1479.800049,10
5/18/2011,1496.400024,1497,1496.300049,1495.599976,1495.599976,41
5/19/2011,1491.5,1491.5,1491.5,1492.199951,1492.199951,82
5/20/2011,1499,1512.699951,1488.699951,1508.800049,1508.800049,1
5/22/2011,null,null,null,null,null,null
5/23/2011,1510.5,1512.300049,1507,1515.300049,1515.300049,93
